acc,std,loss,tp,fp,tn,fn,hp
81.76258206367493,0.0,0.03338095545768738,2800.0,474.0,24705.0,797.0,"[32, 5, 5, 0.7, 50, 0.01, 'categorical_crossentropy', 0.0]"
82.24909901618958,0.0,0.03314860723912716,2847.0,481.5,24697.5,750.0,"[8, 3, 5, 0.3, 50, 0.001, 'categorical_crossentropy', 0.9]"
81.70697887738545,0.0,0.03385574743151665,2850.6666666666665,479.6666666666667,24699.333333333332,746.3333333333334,"[8, 3, 3, 0.7, 75, 0.01, 'mean_squared_error', 0.0]"
81.6652774810791,0.0,0.03400467708706856,2845.75,484.75,24694.25,751.25,"[32, 3, 5, 0.3, 50, 0.1, 'categorical_crossentropy', 0.0]"
82.12399244308472,0.0,0.03364049419760704,2859.6,478.4,24700.6,737.4,"[8, 5, 5, 0.3, 75, 0.01, 'mean_squared_error', 0.6]"
82.40200181802113,0.0,0.033379493902126946,2868.1666666666665,473.6666666666667,24705.333333333332,728.8333333333334,"[8, 7, 3, 0.3, 25, 0.01, 'mean_squared_error', 0.0]"
82.31859888349261,0.0,0.03326621758086341,2873.714285714286,473.2857142857143,24705.714285714286,723.2857142857143,"[8, 3, 3, 0.5, 50, 0.1, 'categorical_crossentropy', 0.6]"
82.29079768061638,0.0,0.03328676614910364,2877.0,467.375,24711.625,720.0,"[32, 5, 3, 0.3, 75, 0.01, 'categorical_crossentropy', 0.0]"
82.29697545369466,0.0,0.03345265198085043,2880.4444444444443,474.22222222222223,24704.777777777777,716.5555555555555,"[8, 3, 5, 0.3, 75, 0.001, 'categorical_crossentropy', 0.6]"
82.2903037071228,0.0,0.033430048078298566,2877.0,472.0,24706.3,719.9,"[32, 3, 3, 0.5, 50, 0.1, 'mean_squared_error', 0.6]"
59.5522403717041,0.0,0.06634985655546188,360.0,106.0,4584.0,310.0,"[8, 7, 3, 0.7, 50, 0.1, 'mean_squared_error', 0.3]"
62.16417849063873,0.0,0.06459759920835495,364.5,118.5,4571.5,305.5,"[8, 3, 5, 0.7, 25, 0.001, 'categorical_crossentropy', 0.3]"
63.88059655825297,0.0,0.06349814434846242,375.6666666666667,130.0,4560.0,294.3333333333333,"[8, 5, 3, 0.3, 50, 0.001, 'categorical_crossentropy', 0.0]"
